acidez fixa;acucar residual;desidade;pH;alcool;qualidade
8,7;2;0,9962;3,14;11;baixa
8,1;2,2;0,9967;3,36;9,1;baixa
7,5;1,9;0,9957;3,39;9,7;baixa
7,8;2;0,9964;3,34;9,4;media
7,4;2;0,9957;3,15;9,4;baixa
6,8;1,5;0,99525;3,42;9,5;baixa
8,6;2;0,99815;3,28;10;media
7,7;2,6;0,99615;3,37;10,5;media
8,9;2;0,9964;3,04;9,5;media
8;1,8;0,99625;3,37;9,9;media
8,5;2,8;0,998;3,34;9,6;media
8,2;2,3;0,99685;3,32;9;media
7,2;1,9;0,99675;3,37;9;media
8,9;1,7;0,9971;3;9,3;baixa
12;2,1;0,99925;3,14;10,9;media
7,7;1,8;0,99565;3,08;9,8;media
7,3;2;0,9983;3,61;9,9;media
7,1;1,9;0,99685;3,38;9,5;baixa
7,3;2;0,9983;3,61;9,9;media
10,8;1,6;0,9985;3,22;10;media
11,1;3,1;0,9986;3,17;10,5;baixa
7,7;1,9;0,9959;3,23;9,5;baixa
8;3,2;0,99675;3,26;9,3;baixa
9,4;2,2;0,998;3,22;9,2;baixa
6,6;2,1;0,9968;3,49;9,2;baixa
7,7;1,8;0,9968;3,06;9,4;baixa
10;2,6;0,99965;3,36;10,5;alta
7,9;1,7;0,99625;3,29;9,3;baixa
8;1,7;0,99575;3,34;10;baixa
7,9;1,8;0,9963;3,28;9,3;baixa
12,5;2,4;0,9999;3,08;9;baixa
8,9;5,6;0,9991;3,38;10,5;alta
7,7;3,5;0,9972;3,25;9,9;alta
8,9;5,6;0,9991;3,38;10,5;alta
8,7;2,5;0,9976;3,34;10,6;alta
8,7;2,5;0,9976;3,34;10,6;alta
7,1;2;0,99855;3,67;9,6;baixa
7,2;2,3;0,9993;3,67;9,7;baixa
8,3;2,6;0,9994;3,51;10;baixa
8,4;2,1;0,9973;3,2;9,2;baixa
7,6;2,2;0,9966;3,36;9,4;baixa
8,6;3;0,9976;3,3;9,4;baixa
7,4;2,6;0,99645;3,39;11;baixa
9,8;3,2;0,9989;3,37;11,5;alta
9,3;3,4;0,99975;3,24;9,7;baixa
11,6;3,65;0,9978;3,05;11,5;alta
10,3;4,5;0,998;3,28;10;baixa
8,4;2,1;0,9958;3,13;11;baixa
7,9;2,5;0,9963;3,34;11,7;alta
11,9;3,4;0,9992;3,17;12,2;alta
7,8;2,8;0,9974;3,31;10,3;baixa
12,5;2,3;0,9997;3,11;10;alta
7,7;2,4;0,9974;3,27;9,3;baixa
10,5;2,95;0,997;3,24;11,7;alta
11,9;3,1;1;3,15;10,4;alta
12,5;2;0,9988;2,99;10,2;baixa
10,4;2,6;1;3,16;9;baixa
9,4;2,4;0,9962;3,2;12;alta
9,4;2,4;0,9962;3,2;12;alta
7,7;2,1;0,998;3,42;9,2;baixa
9,5;2;0,998;3,18;9,5;baixa
6,6;7,9;0,9994;3,47;9,9;baixa
8,7;2,3;0,9963;3,1;9,4;baixa
6,6;7,9;0,9994;3,47;9,9;baixa
7,7;2,7;0,9974;3,26;9,1;baixa
12;3;0,9996;3,18;10,8;alta
7,1;1,9;0,9966;3,27;9,3;baixa
9,9;6,7;0,9986;3,27;11,7;alta
8,8;2,7;0,9982;3,26;9,5;baixa
7;1,9;0,9956;3,44;10,5;baixa
6,8;1,8;0,9976;3,62;9,9;baixa
6,6;2,3;0,9952;3,52;12,3;alta
7,7;2;0,9955;3,36;10;baixa
10,5;2,1;0,9978;3,15;11;alta
6,6;2,3;0,9952;3,52;12,3;alta
9,1;1,3;0,9978;3,24;9,3;baixa
10,5;2,1;0,9978;3,15;11;alta
7,8;2,2;0,9974;3,25;9,2;baixa
7;1,5;0,9951;3,08;9,3;baixa
5,3;1,7;0,9934;3,57;12,5;alta
12,5;2,6;0,9996;3,1;10,5;baixa
9,3;2,1;0,9968;3,22;10;baixa
10,4;2,8;0,9998;3,26;11,2;alta
7;1,6;0,9952;3,5;10;baixa
8,9;2,3;0,9986;3,37;10,3;baixa
9,2;2,7;0,9988;3,28;9,6;baixa
8,3;2,6;0,9982;3,26;9,3;baixa
8,7;1,2;0,9952;3,2;9,8;baixa
13;2,6;0,9996;3,05;10;baixa
9,6;2,2;0,9988;3,14;10,2;baixa
9,3;2;0,998;3,28;9,7;baixa
10,6;2,2;0,9986;3,04;9,4;baixa
10,2;1,9;0,9976;3,17;10;baixa
9,2;2,5;0,9952;3,34;13,3;alta
8,9;2,6;0,995;3,32;13,4;alta
7,2;2,5;0,9966;3,32;10;baixa
10,4;6,55;0,999;3,17;12;alta
10,4;6,55;0,999;3,17;12;alta
10,5;1,8;0,9976;3,21;10,8;alta
10,2;2,9;0,9968;3,16;12,5;alta
10,4;1,8;0,9976;3,25;10,8;alta
13,3;2,8;0,9986;3,04;11,4;alta
10,5;2,4;0,9973;3,09;11,8;alta
10,5;2,4;0,9973;3,09;11,8;alta
8,5;6,1;1001;3,31;9,3;baixa
9,3;2,5;0,9978;3,22;9,4;baixa
9,2;2,4;0,9976;3,23;9,5;baixa
9,9;2,4;0,9974;3,09;9,4;baixa
6,8;2,1;0,9958;3,33;9,5;media
9,4;2,8;0,998;3,19;10;media
9,5;2,7;0,998;3,12;10;media
12;1,9;0,9976;2,98;11;alta
9,6;2,4;0,9979;3,24;9,4;baixa
9,5;2,3;0,9978;3,24;9,4;baixa
9,9;2,3;0,9991;3,39;9,4;baixa
9,9;2,3;0,9991;3,39;9,4;baixa
9,9;2,3;0,9991;3,39;9,4;baixa
8,7;2,8;0,9964;3,33;11,2;alta
6,7;8,6;0,9948;3,16;11,3;media
10,7;2,2;0,9986;2,89;9,6;baixa
9,4;2,8;0,9976;3,12;12;media
12;1,4;0,998;2,92;10,5;alta
7,2;1,4;0,9973;3,32;9,6;media
7,2;1,4;0,9973;3,32;9,6;media
7,2;1,6;0,9972;3,36;9,6;media
8,3;1,8;0,998;3,18;9,5;media
11,3;2;0,9988;2,94;9,2;media
11,3;2;0,9988;2,94;9,2;media
10,8;2,2;0,9984;3,08;9,3;media
8,3;2,6;0,9983;3,48;10;baixa
10,8;3,3;0,9972;3,13;9,6;baixa
8;2,2;0,9962;3,21;10,2;media
8,5;2,25;0,998;3,33;9,8;baixa
8,1;2,6;0,997;3,37;10;baixa
9,8;2,3;0,998;3,25;9,4;baixa
8,1;2,6;0,997;3,37;10;baixa
7,7;1,6;0,9962;3,4;9,4;baixa
8,1;1,8;0,9976;3,3;9,4;baixa
9,2;2,6;0,9998;3,48;9,8;baixa
8,6;2;0,9979;3,03;9;baixa
9;2,8;0,9984;3,32;9,4;baixa
9;2,7;0,9984;3,31;9,4;baixa
5,1;1,3;0,9921;3,9;12,8;media
7;2,1;0,9972;3,47;9,5;media
11,8;2,1;0,9986;3,11;10,8;media
10,6;2,9;0,9984;3,08;10,1;media
7;2,1;0,9972;3,47;9,5;media
7;2,1;0,997;3,47;9,4;media
7,8;2,5;0,996;3,34;11,6;media
8,4;2;0,9976;3,22;9,6;baixa
8,9;2,85;0,9982;3,1;9,2;baixa
7,1;2,2;0,9965;2,94;9,5;baixa
9;3;0,9976;3,29;10;baixa
8,1;2,8;0,9994;3,43;11,1;media
6,4;1,8;0,997;3,46;9,5;baixa
6,4;1,8;0,997;3,46;9,5;baixa
6,4;3,2;0,995;3,61;12,7;media
